Datum;Unfaelle_mit_Alkoholeinfluss;Unfaelle_Fahrrad;Unfaelle_Motorrad_roller;Verunglueckte_Kinder_u15J;Verunglueckte_Fussgaenger;Verunglueckte_auf_EScooter;Getoetete_insgesamt;PKWPersschaden
01.01.2005;423;21;6;46;110;;18;437
02.01.2005;84;36;6;26;26;;3;269
03.01.2005;95;88;12;57;119;;10;739
04.01.2005;81;115;23;56;91;;20;564
05.01.2005;95;98;21;59;105;;11;587
06.01.2005;127;90;22;40;98;;10;566
07.01.2005;126;111;27;52;83;;20;633
08.01.2005;224;98;27;54;72;;20;555
09.01.2005;167;49;23;38;47;;9;330
10.01.2005;76;201;33;92;130;;12;845
11.01.2005;96;156;25;71;114;;18;711
12.01.2005;90;176;37;86;145;;22;789
13.01.2005;101;185;29;90;142;;26;1044
14.01.2005;149;157;26;78;139;;21;1006
15.01.2005;245;89;21;58;64;;18;624
16.01.2005;207;54;10;59;55;;24;468
17.01.2005;83;130;14;92;106;;16;726
18.01.2005;76;168;24;120;152;;23;944
19.01.2005;80;145;23;77;114;;16;894
20.01.2005;102;169;18;99;200;;13;953
21.01.2005;127;131;18;118;133;;19;964
22.01.2005;216;56;11;76;69;;12;702
23.01.2005;218;45;6;48;61;;12;539
24.01.2005;87;79;8;59;99;;20;821
25.01.2005;80;91;6;52;79;;5;528
26.01.2005;68;101;10;74;81;;8;638
27.01.2005;94;87;11;80;85;;7;573
28.01.2005;114;104;12;83;99;;6;687
29.01.2005;200;40;4;52;60;;12;528
30.01.2005;178;20;4;47;48;;10;396
31.01.2005;93;124;15;84;133;;10;819
01.02.2005;94;150;15;76;116;;13;909
02.02.2005;102;123;13;100;139;;13;773
03.02.2005;134;133;17;70;103;;11;652
04.02.2005;164;112;20;93;124;;16;720
05.02.2005;188;73;30;63;89;;9;507
06.02.2005;172;35;16;46;62;;8;346
07.02.2005;99;113;14;62;108;;11;551
08.02.2005;136;108;22;63;68;;8;572
09.02.2005;78;116;11;43;58;;6;583
10.02.2005;101;114;16;67;136;;8;792
11.02.2005;109;138;19;70;128;;15;880
12.02.2005;171;44;12;62;71;;17;567
13.02.2005;156;26;4;51;33;;11;447
14.02.2005;77;102;8;85;120;;15;946
15.02.2005;72;109;9;58;89;;9;706
16.02.2005;67;88;8;51;81;;11;676
17.02.2005;72;75;4;65;67;;7;490
18.02.2005;110;74;10;67;78;;3;530
19.02.2005;223;40;4;73;61;;17;582
20.02.2005;178;20;0;32;33;;11;392
21.02.2005;63;104;6;86;102;;14;678
22.02.2005;72;95;7;57;85;;9;701
23.02.2005;78;68;0;51;63;;7;581
24.02.2005;79;70;8;52;95;;8;556
25.02.2005;126;85;9;93;113;;9;666
26.02.2005;224;38;4;63;60;;15;542
27.02.2005;189;13;2;59;25;;10;514
28.02.2005;63;83;10;73;101;;4;778
01.03.2005;81;71;6;73;89;;13;691
02.03.2005;91;63;3;65;94;;5;581
03.03.2005;78;81;10;63;108;;16;559
04.03.2005;96;82;7;80;80;;9;609
05.03.2005;186;37;4;44;54;;12;484
06.03.2005;184;13;2;39;29;;5;365
07.03.2005;64;90;6;46;74;;8;589
08.03.2005;62;95;11;75;82;;8;629
09.03.2005;85;106;12;85;79;;6;651
10.03.2005;90;145;24;96;122;;20;801
11.03.2005;118;97;13;89;104;;11;774
12.03.2005;214;57;7;87;81;;12;786
13.03.2005;167;37;9;47;39;;10;387
14.03.2005;84;123;28;65;104;;5;621
15.03.2005;84;153;44;74;91;;7;603
16.03.2005;81;177;74;103;108;;12;689
17.03.2005;95;153;39;77;96;;17;636
18.03.2005;147;190;90;101;126;;20;907
19.03.2005;208;87;42;69;82;;10;585
20.03.2005;187;71;92;54;42;;12;425
21.03.2005;71;196;69;108;108;;9;717
22.03.2005;90;173;67;111;96;;11;653
23.03.2005;96;180;75;77;76;;11;717
24.03.2005;120;176;85;101;105;;7;813
25.03.2005;173;79;48;52;52;;9;423
26.03.2005;176;123;67;81;69;;9;592
27.03.2005;192;53;42;58;47;;23;365
28.03.2005;121;79;39;66;34;;7;420
29.03.2005;88;161;50;98;81;;13;642
30.03.2005;79;141;40;66;77;;13;594
31.03.2005;81;202;78;97;85;;11;692
01.04.2005;128;245;150;121;106;;15;896
02.04.2005;235;189;199;116;86;;21;746
03.04.2005;197;187;216;79;54;;14;561
04.04.2005;101;289;117;113;110;;14;845
05.04.2005;80;215;63;85;90;;13;769
06.04.2005;85;211;85;94;88;;9;709
07.04.2005;120;186;48;100;94;;7;815
08.04.2005;123;182;66;114;112;;8;896
09.04.2005;223;111;34;60;73;;13;601
10.04.2005;199;71;35;63;52;;11;444
11.04.2005;73;213;82;105;98;;11;721
12.04.2005;74;222;93;97;96;;12;699
13.04.2005;83;238;88;111;104;;9;636
14.04.2005;101;248;92;121;108;;15;761
15.04.2005;154;319;157;137;134;;19;956
16.04.2005;245;195;129;86;73;;11;698
17.04.2005;227;130;112;78;48;;20;501
18.04.2005;74;201;72;123;97;;12;776
19.04.2005;89;226;52;107;105;;15;858
20.04.2005;89;246;76;112;113;;14;895
21.04.2005;83;270;114;140;102;;21;879
22.04.2005;143;311;169;155;129;;14;969
23.04.2005;249;226;189;95;71;;18;733
24.04.2005;204;121;102;84;49;;16;510
25.04.2005;93;193;56;100;88;;9;817
26.04.2005;82;230;52;115;103;;18;767
27.04.2005;97;215;75;131;89;;15;903
28.04.2005;107;272;107;151;94;;9;804
29.04.2005;143;252;98;122;124;;12;910
30.04.2005;290;261;187;147;111;;19;813
01.05.2005;346;371;281;124;121;;22;758
02.05.2005;127;384;152;171;120;;17;1020
03.05.2005;88;301;76;141;120;;18;986
04.05.2005;138;299;81;145;116;;12;1076
05.05.2005;381;293;140;108;106;;16;635
06.05.2005;163;182;70;120;88;;16;926
07.05.2005;171;95;45;104;75;;18;764
08.05.2005;201;67;37;75;40;;11;637
09.05.2005;79;216;55;117;100;;14;880
10.05.2005;81;249;71;123;78;;8;829
11.05.2005;82;225;92;96;95;;14;766
12.05.2005;101;304;128;157;127;;15;875
13.05.2005;133;293;152;140;117;;23;897
14.05.2005;253;174;106;105;79;;20;838
15.05.2005;267;103;73;58;55;;11;507
16.05.2005;180;177;164;102;51;;17;568
17.05.2005;85;216;63;110;95;;19;805
18.05.2005;64;257;77;102;88;;7;734
19.05.2005;126;314;136;136;110;;14;822
20.05.2005;158;318;173;155;133;;18;995
21.05.2005;226;210;124;121;83;;22;723
22.05.2005;231;196;109;95;56;;11;535
23.05.2005;99;252;64;128;95;;13;842
24.05.2005;95;352;110;142;100;;19;826
25.05.2005;105;403;193;181;137;;18;1002
26.05.2005;198;395;258;96;84;;23;796
27.05.2005;141;409;240;178;123;;22;1047
28.05.2005;225;340;206;131;107;;28;852
29.05.2005;209;268;183;84;52;;16;594
30.05.2005;110;294;66;134;100;;13;1008
31.05.2005;94;346;84;144;120;;8;845
01.06.2005;96;378;144;170;109;;13;952
02.06.2005;130;368;119;141;100;;15;921
03.06.2005;187;476;197;187;137;;14;1183
04.06.2005;255;199;89;128;92;;17;828
05.06.2005;259;132;66;75;47;;17;572
06.06.2005;103;275;54;126;87;;11;868
07.06.2005;74;317;93;133;96;;12;815
08.06.2005;84;352;119;164;103;;21;837
09.06.2005;111;359;131;154;121;;24;905
10.06.2005;122;327;127;161;106;;10;904
11.06.2005;259;188;104;104;64;;12;605
12.06.2005;252;179;140;93;45;;18;568
13.06.2005;85;320;88;145;108;;6;930
14.06.2005;92;367;102;160;102;;12;875
15.06.2005;117;459;139;176;117;;15;932
16.06.2005;131;409;128;155;102;;20;832
17.06.2005;132;373;160;162;109;;12;958
18.06.2005;289;359;227;144;98;;27;865
19.06.2005;294;340;254;128;69;;28;799
20.06.2005;111;522;192;191;121;;14;1172
21.06.2005;105;447;150;170;109;;20;989
22.06.2005;90;488;150;168;97;;16;1021
23.06.2005;128;575;157;212;125;;25;1160
24.06.2005;144;457;187;184;121;;11;1064
25.06.2005;269;261;136;137;75;;18;835
26.06.2005;269;279;179;103;60;;21;642
27.06.2005;116;498;148;166;103;;18;1081
28.06.2005;100;481;165;177;107;;19;1051
29.06.2005;95;409;110;155;100;;9;938
30.06.2005;136;373;109;151;99;;10;1073
01.07.2005;199;297;104;174;135;;19;1274
02.07.2005;305;238;114;123;90;;22;729
03.07.2005;263;291;197;91;80;;18;621
04.07.2005;113;379;124;133;98;;14;1035
05.07.2005;85;312;106;136;101;;10;948
06.07.2005;100;309;97;149;83;;12;914
07.07.2005;103;229;84;111;87;;11;918
08.07.2005;157;244;88;126;80;;18;893
09.07.2005;260;238;135;120;85;;16;702
10.07.2005;254;252;171;89;48;;24;625
11.07.2005;110;389;118;131;93;;22;894
12.07.2005;119;435;124;162;92;;27;873
13.07.2005;99;474;169;144;98;;15;955
14.07.2005;133;436;173;138;94;;14;934
15.07.2005;186;404;178;166;94;;23;1004
16.07.2005;273;269;157;134;64;;22;707
17.07.2005;266;310;222;71;47;;17;659
18.07.2005;97;397;99;138;95;;13;885
19.07.2005;82;277;72;140;83;;13;755
20.07.2005;89;311;79;153;83;;14;876
21.07.2005;110;248;83;128;84;;12;873
22.07.2005;153;255;77;121;100;;14;954
23.07.2005;227;197;117;96;50;;20;616
24.07.2005;236;216;119;80;53;;21;544
25.07.2005;93;258;71;125;69;;23;935
26.07.2005;93;271;62;104;83;;7;681
27.07.2005;114;341;162;109;84;;17;760
28.07.2005;151;407;153;161;82;;17;840
29.07.2005;210;325;155;129;86;;20;936
30.07.2005;283;242;108;90;72;;18;747
31.07.2005;282;236;120;89;41;;23;610
01.08.2005;119;328;139;104;75;;16;774
02.08.2005;121;284;101;115;68;;18;771
03.08.2005;106;254;111;108;76;;13;800
04.08.2005;109;284;133;100;67;;11;767
05.08.2005;144;246;137;106;83;;16;853
06.08.2005;250;170;88;132;85;;22;722
07.08.2005;235;120;65;96;39;;24;601
08.08.2005;84;222;80;104;68;;17;776
09.08.2005;89;247;89;100;63;;11;671
10.08.2005;96;241;93;89;58;;13;632
11.08.2005;105;251;118;94;78;;13;670
12.08.2005;165;289;115;127;72;;16;882
13.08.2005;237;247;144;91;82;;15;660
14.08.2005;235;91;55;80;47;;16;591
15.08.2005;114;210;87;85;76;;14;766
16.08.2005;119;276;121;77;69;;20;738
17.08.2005;103;330;161;112;73;;17;724
18.08.2005;121;383;180;121;87;;18;848
19.08.2005;163;374;163;137;89;;29;954
20.08.2005;286;208;102;111;64;;23;675
21.08.2005;213;139;99;69;52;;12;479
22.08.2005;99;283;99;106;58;;2;835
23.08.2005;98;256;79;95;82;;21;760
24.08.2005;97;376;120;116;93;;17;791
25.08.2005;101;263;87;98;72;;15;897
26.08.2005;130;321;139;116;100;;13;954
27.08.2005;247;269;170;118;80;;18;718
28.08.2005;259;248;225;105;54;;18;660
29.08.2005;112;467;170;150;101;;16;989
30.08.2005;99;460;200;142;91;;18;955
31.08.2005;141;463;217;160;108;;18;1053
01.09.2005;171;435;194;153;113;;13;987
02.09.2005;174;425;144;155;107;;23;940
03.09.2005;312;314;166;99;75;;13;736
04.09.2005;292;310;252;108;75;;21;700
05.09.2005;108;474;172;166;113;;22;1056
06.09.2005;90;448;186;150;92;;20;918
07.09.2005;121;464;157;158;118;;13;917
08.09.2005;105;470;147;158;95;;11;917
09.09.2005;140;409;156;162;105;;19;937
10.09.2005;224;258;101;102;80;;20;734
11.09.2005;271;135;65;74;53;;15;602
12.09.2005;106;275;91;116;86;;21;961
13.09.2005;95;348;107;138;94;;13;833
14.09.2005;88;344;103;115;84;;7;801
15.09.2005;119;354;104;116;119;;16;998
16.09.2005;173;288;109;141;115;;24;1226
17.09.2005;259;194;106;89;69;;18;670
18.09.2005;248;171;171;71;63;;19;609
19.09.2005;73;353;119;140;119;;15;923
20.09.2005;107;356;145;137;97;;21;887
21.09.2005;99;399;157;119;97;;9;880
22.09.2005;109;383;152;140;109;;18;912
23.09.2005;156;406;210;157;137;;23;1061
24.09.2005;257;250;179;104;109;;21;710
25.09.2005;264;213;175;86;51;;24;624
26.09.2005;101;316;99;120;91;;24;956
27.09.2005;111;317;108;116;111;;18;795
28.09.2005;94;282;102;124;108;;9;898
29.09.2005;124;267;99;134;119;;8;1020
30.09.2005;156;272;92;133;127;;13;876
01.10.2005;344;136;55;99;101;;13;947
02.10.2005;295;73;51;60;57;;18;542
03.10.2005;151;93;75;53;34;;9;428
04.10.2005;99;271;75;97;101;;19;781
05.10.2005;75;261;109;104;93;;9;678
06.10.2005;114;311;122;136;108;;6;854
07.10.2005;134;296;163;119;119;;19;901
08.10.2005;246;232;203;94;65;;30;708
09.10.2005;244;166;172;69;64;;14;531
10.10.2005;77;301;113;111;108;;15;830
11.10.2005;91;316;147;129;106;;19;908
12.10.2005;102;305;140;106;88;;15;864
13.10.2005;102;359;141;133;120;;15;934
14.10.2005;167;345;142;130;109;;17;1034
15.10.2005;272;235;157;102;78;;24;788
16.10.2005;217;155;159;68;61;;17;575
17.10.2005;78;290;95;118;117;;22;886
18.10.2005;64;258;86;120;129;;21;871
19.10.2005;85;226;74;103;88;;13;860
20.10.2005;103;255;88;119;93;;15;814
21.10.2005;167;262;81;134;150;;26;1149
22.10.2005;239;137;71;74;81;;7;798
23.10.2005;288;70;44;64;60;;15;607
24.10.2005;102;241;79;113;100;;16;1013
25.10.2005;82;216;74;107;117;;10;843
26.10.2005;97;265;84;99;102;;12;765
27.10.2005;136;331;123;121;147;;23;1009
28.10.2005;166;379;167;154;165;;14;1184
29.10.2005;252;220;152;119;105;;28;801
30.10.2005;258;154;177;100;88;;27;643
31.10.2005;128;283;129;128;140;;11;918
01.11.2005;165;186;46;64;103;;16;776
02.11.2005;105;246;49;97;134;;14;943
03.11.2005;95;274;82;108;131;;12;1010
04.11.2005;158;227;58;113;133;;19;991
05.11.2005;247;126;49;68;85;;14;728
06.11.2005;217;89;42;67;47;;9;476
07.11.2005;110;220;49;86;99;;13;870
08.11.2005;76;274;66;103;128;;15;868
09.11.2005;97;234;54;96;98;;10;760
10.11.2005;115;245;58;97;113;;12;826
11.11.2005;148;218;54;111;130;;11;908
12.11.2005;238;135;39;79;77;;9;555
13.11.2005;245;87;29;37;44;;9;443
14.11.2005;65;189;51;87;89;;14;741
15.11.2005;100;228;61;108;177;;12;987
16.11.2005;90;201;43;86;131;;14;1009
17.11.2005;79;198;39;95;135;;13;858
18.11.2005;189;189;33;114;147;;20;982
19.11.2005;240;100;25;56;85;;12;623
20.11.2005;192;38;10;37;46;;15;415
21.11.2005;84;176;40;79;153;;13;964
22.11.2005;80;165;27;75;119;;14;704
23.11.2005;89;158;27;71;119;;9;705
24.11.2005;106;179;22;79;141;;11;790
25.11.2005;136;119;11;106;148;;11;952
26.11.2005;201;51;17;47;110;;8;518
27.11.2005;190;28;4;44;60;;28;349
28.11.2005;77;129;15;71;99;;13;756
